time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
333.48264,0.029979246,22.52417,333.48264,0.029979246,17.626015,333.48264,27.839504,333.48264,24.882713,333.48264,35.0,333.48264,81.0,333.48264,0.0,333.48264,275.0,333.48264,973.07825,333.48264,21.396448,333.48264,0.0,333.48264,0.0,333.48264,0.0,333.48264,0.00055692554,333.48264,0.00051496434,333.48264,22.949997,333.48264,23.335554,333.48264,22.93,333.48264,20241128,333.48264,113500,333.48264,2024.0,333.48264,11.0,333.48264,28.0,333.48264,11.0,333.48264,35.0,333.48264,0.0,333.48264,-1.0,333.48264,-999.0,333.48264,-999.0,333.48264,-999.0,333.48264,4.117,333.48264,2500.0,333.48264,0.029979246,81461.84,333.48264,0.029979246,69653.16,333.48264,,333.48264,,333.48264,,333.48264,,333.48264,,333.48264,,333.48264,,333.48264,,333.48264,0.11991698,0.18158412,333.48264,0.11991698,0.0076992777,,,,,,,,,,,,,333.48264,0.0,0.0,1.0192944,333.48264,0.0,1.468983,333.48264,0.11991698,0.035609007,333.48264,0.11991698,27.65668,333.48264,0.11991698,0.0011869669,333.48264,0.11991698,0.04066967,333.48264,0.11991698,5.0,333.48264,0.0,WaterCloud,333.48264,30.0,333.48264,
333.48264,0.05995849,8.380753,333.48264,0.05995849,0.89635587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.05995849,30308.004,333.48264,0.05995849,3539.3682,,,,,,,,,,,,,,,,,333.48264,0.14989623,0.17378217,333.48264,0.14989623,0.0074992436,,,,,,,,,,,,,333.48264,0.0,1.0,1.4390038,333.48264,1.0,,333.48264,0.14989623,0.032455042,333.48264,0.14989623,27.642801,333.48264,0.14989623,0.0010818347,333.48264,0.14989623,0.041365497,333.48264,0.14989623,5.0,333.48264,1.0,MixedCloud,,,,
333.48264,0.08993774,7.395924,333.48264,0.08993774,0.6154693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.08993774,26750.41,333.48264,0.08993774,2429.212,,,,,,,,,,,,,,,,,333.48264,0.17987548,0.16905844,333.48264,0.17987548,0.007564024,,,,,,,,,,,,,333.48264,0.0,2.0,1.7687756,333.48264,2.0,,333.48264,0.17987548,0.030703314,333.48264,0.17987548,27.635094,333.48264,0.17987548,0.0010234438,333.48264,0.17987548,0.042828325,333.48264,0.17987548,5.0,333.48264,2.0,Ice/dust/ash,,,,
333.48264,0.11991698,6.64977,333.48264,0.11991698,0.46421242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.11991698,24043.904,333.48264,0.11991698,1831.5815,,,,,,,,,,,,,,,,,333.48264,0.20985472,0.1653574,333.48264,0.20985472,0.0075641703,,,,,,,,,,,,,333.48264,1.0,0.0,,333.48264,3.0,,333.48264,0.20985472,0.029354684,333.48264,0.20985472,27.629164,333.48264,0.20985472,0.0009784894,333.48264,0.20985472,0.043741424,333.48264,0.20985472,5.0,333.48264,3.0,Rain/Dust,,,,
333.48264,0.14989623,6.0767517,333.48264,0.14989623,0.37639442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.14989623,21978.537,333.48264,0.14989623,1484.9429,,,,,,,,,,,,,,,,,333.48264,0.23983397,0.16254833,333.48264,0.23983397,0.007605777,,,,,,,,,,,,,333.48264,1.0,1.0,,333.48264,4.0,,333.48264,0.23983397,0.028405104,333.48264,0.23983397,27.624983,333.48264,0.23983397,0.00094683684,333.48264,0.23983397,0.044700954,333.48264,0.23983397,5.0,333.48264,4.0,Molecular,,,,
333.48264,0.17987548,5.6501713,333.48264,0.17987548,0.32702664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.17987548,20429.885,333.48264,0.17987548,1289.3723,,,,,,,,,,,,,,,,,333.48264,0.2698132,0.16283114,333.48264,0.2698132,0.007731879,,,,,,,,,,,,,333.48264,1.0,2.0,,333.48264,5.0,,333.48264,0.2698132,0.02879671,333.48264,0.2698132,27.626705,333.48264,0.2698132,0.0009598902,333.48264,0.2698132,0.045329127,333.48264,0.2698132,5.0,333.48264,5.0,CleanAerosol,,,,
333.48264,0.20985472,5.2674847,333.48264,0.20985472,0.29168525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.20985472,19049.588,333.48264,0.20985472,1150.7609,,,,,,,,,,,,,,,,,333.48264,0.29979247,0.16446972,333.48264,0.29979247,0.007975436,,,,,,,,,,,,,333.48264,2.0,0.0,,333.48264,6.0,,333.48264,0.29979247,0.029853182,333.48264,0.29979247,27.631355,333.48264,0.29979247,0.0009951062,333.48264,0.29979247,0.04624997,333.48264,0.29979247,5.0,333.48264,6.0,PollutedAerosol,,,,
333.48264,0.23983397,4.9210176,333.48264,0.23983397,0.2650751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.23983397,17794.264,333.48264,0.23983397,1046.2358,,,,,,,,,,,,,,,,,333.48264,0.3297717,0.1689382,333.48264,0.3297717,0.008351051,,,,,,,,,,,,,333.48264,2.0,1.0,,333.48264,7.0,,333.48264,0.3297717,0.03214162,333.48264,0.3297717,27.641422,333.48264,0.3297717,0.0010713873,333.48264,0.3297717,0.04710125,333.48264,0.3297717,5.0,333.48264,7.0,Undetected,,,,
333.48264,0.2698132,4.5955977,333.48264,0.2698132,0.24341811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.2698132,16620.775,333.48264,0.2698132,959.20483,,,,,,,,,,,,,,,,,333.48264,0.35975096,0.17899723,333.48264,0.35975096,0.00930266,,,,,,,,,,,,,333.48264,2.0,2.0,,333.48264,8.0,,333.48264,0.35975096,0.036980376,333.48264,0.35975096,27.662716,333.48264,0.35975096,0.0012326795,333.48264,0.35975096,0.049394634,333.48264,0.35975096,5.0,,,,,,,
333.48264,0.29979247,4.3081217,333.48264,0.29979247,0.22769597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.48264,0.29979247,15579.989,333.48264,0.29979247,898.099,,,,,,,,,,,,,,,,,333.48264,0.3897302,0.18839973,333.48264,0.3897302,0.010035575,,,,,,,,,,,,,333.48264,3.0,0.0,,333.48264,9.0,,333.48264,0.3897302,0.04160096,333.48264,0.3897302,27.683044,333.48264,0.3897302,0.0013866988,333.48264,0.3897302,0.050550625,333.48264,0.3897302,6.0,,,,,,,
