time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
94.84722,0.029979246,31.57241,94.84722,0.029979246,18.551613,94.84722,31.833334,94.84722,26.771606,94.84722,42.22222,94.84722,67.77778,94.84722,0.0,94.84722,306.1111,94.84722,966.0984,94.84722,20.316916,94.84722,0.0,94.84722,0.0,94.84722,0.0,94.84722,0.0006266,94.84722,0.0005683553,94.84722,27.124445,94.84722,27.474445,94.84722,27.71,94.84722,20240403,94.84722,202000,94.84722,2024.0,94.84722,4.0,94.84722,3.0,94.84722,20.0,94.84722,20.0,94.84722,0.0,94.84722,-1.0,94.84722,-999.0,94.84722,-999.0,94.84722,-999.0,94.84722,4.466555,94.84722,2500.0,94.84722,0.029979246,107700.47,94.84722,0.029979246,70281.836,94.84722,,94.84722,,94.84722,,94.84722,,94.84722,,94.84722,,94.84722,,94.84722,,94.84722,0.11991698,0.6477777,94.84722,0.11991698,0.046523318,,,,,,,,,,,,,94.84722,0.0,0.0,,94.84722,0.0,0.7794604,94.84722,0.11991698,0.37613732,94.84722,0.11991698,29.155003,94.84722,0.11991698,0.012537911,94.84722,0.11991698,0.06700328,94.84722,0.11991698,6.0,94.84722,0.0,WaterCloud,94.84722,30.0,94.84722,
94.84722,0.05995849,27.636711,94.84722,0.05995849,2.7040012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.05995849,94279.016,94.84722,0.05995849,10249.49,,,,,,,,,,,,,,,,,94.84722,0.14989623,0.6368224,94.84722,0.14989623,0.04302296,,,,,,,,,,,,,94.84722,0.0,1.0,,94.84722,1.0,,94.84722,0.14989623,0.3789394,94.84722,0.14989623,29.167336,94.84722,0.14989623,0.012631313,94.84722,0.14989623,0.063273124,94.84722,0.14989623,6.0,94.84722,1.0,MixedCloud,,,,
94.84722,0.08993774,26.363483,94.84722,0.08993774,2.2230105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.08993774,89937.84,94.84722,0.08993774,8430.385,,,,,,,,,,,,,,,,,94.84722,0.17987548,0.62575114,94.84722,0.17987548,0.039369937,,,,,,,,,,,,,94.84722,0.0,2.0,,94.84722,2.0,,94.84722,0.17987548,0.3816045,94.84722,0.17987548,29.17906,94.84722,0.17987548,0.012720149,94.84722,0.17987548,0.05918031,94.84722,0.17987548,6.0,94.84722,2.0,Ice/dust/ash,,,,
94.84722,0.11991698,25.045263,94.84722,0.11991698,1.9109031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.11991698,85433.82,94.84722,0.11991698,7243.8955,,,,,,,,,,,,,,,,,94.84722,0.20985472,0.608587,94.84722,0.20985472,0.036231413,,,,,,,,,,,,,94.84722,1.0,0.0,,94.84722,3.0,,94.84722,0.20985472,0.37990457,94.84722,0.20985472,29.17158,94.84722,0.20985472,0.012663486,94.84722,0.20985472,0.056180205,94.84722,0.20985472,6.0,94.84722,3.0,Rain/Dust,,,,
94.84722,0.14989623,23.717611,94.84722,0.14989623,1.6715751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.14989623,80908.06,94.84722,0.14989623,6341.246,,,,,,,,,,,,,,,,,94.84722,0.23983397,0.58720297,94.84722,0.23983397,0.033238083,,,,,,,,,,,,,94.84722,1.0,1.0,,94.84722,4.0,,94.84722,0.23983397,0.37481534,94.84722,0.23983397,29.14919,94.84722,0.23983397,0.012493845,94.84722,0.23983397,0.053563733,94.84722,0.23983397,6.0,94.84722,4.0,Molecular,,,,
94.84722,0.17987548,22.397295,94.84722,0.17987548,1.4511231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.17987548,76406.53,94.84722,0.17987548,5505.114,,,,,,,,,,,,,,,,,94.84722,0.2698132,0.5765438,94.84722,0.2698132,0.03111381,,,,,,,,,,,,,94.84722,1.0,2.0,,94.84722,5.0,,94.84722,0.2698132,0.3770352,94.84722,0.2698132,29.158957,94.84722,0.2698132,0.0125678405,94.84722,0.2698132,0.051200807,94.84722,0.2698132,6.0,94.84722,5.0,CleanAerosol,,,,
94.84722,0.20985472,20.840532,94.84722,0.20985472,1.2683773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.20985472,71101.47,94.84722,0.20985472,4812.479,,,,,,,,,,,,,,,,,94.84722,0.29979247,0.5626386,94.84722,0.29979247,0.028678063,,,,,,,,,,,,,94.84722,2.0,0.0,,94.84722,6.0,,94.84722,0.29979247,0.37679526,94.84722,0.29979247,29.157902,94.84722,0.29979247,0.012559842,94.84722,0.29979247,0.048492484,94.84722,0.29979247,5.0,94.84722,6.0,PollutedAerosol,,,,
94.84722,0.23983397,19.157845,94.84722,0.23983397,1.1042838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.23983397,65367.117,94.84722,0.23983397,4186.658,,,,,,,,,,,,,,,,,94.84722,0.3297717,0.5532268,94.84722,0.3297717,0.026797904,,,,,,,,,,,,,94.84722,2.0,1.0,,94.84722,7.0,,94.84722,0.3297717,0.379578,94.84722,0.3297717,29.170145,94.84722,0.3297717,0.012652599,94.84722,0.3297717,0.04619362,94.84722,0.3297717,5.0,94.84722,7.0,Undetected,,,,
94.84722,0.2698132,17.563633,94.84722,0.2698132,0.9627548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.2698132,59923.867,94.84722,0.2698132,3650.116,,,,,,,,,,,,,,,,,94.84722,0.35975096,0.54817176,94.84722,0.35975096,0.023244547,,,,,,,,,,,,,94.84722,2.0,2.0,,94.84722,8.0,,94.84722,0.35975096,0.38591895,94.84722,0.35975096,29.198046,94.84722,0.35975096,0.012863966,94.84722,0.35975096,0.040675137,94.84722,0.35975096,5.0,,,,,,,
94.84722,0.29979247,15.926579,94.84722,0.29979247,0.82919824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.29979247,54328.746,94.84722,0.29979247,3141.477,,,,,,,,,,,,,,,,,94.84722,0.3897302,0.5422238,94.84722,0.3897302,0.024635462,,,,,,,,,,,,,94.84722,3.0,0.0,,94.84722,9.0,,94.84722,0.3897302,0.39176717,94.84722,0.3897302,29.223776,94.84722,0.3897302,0.013058907,94.84722,0.3897302,0.04345369,94.84722,0.3897302,5.0,,,,,,,
94.84722,0.3297717,14.360821,94.84722,0.3297717,0.7126581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.3297717,49004.188,94.84722,0.3297717,2703.1062,,,,,,,,,,,,,,,,,94.84722,0.41970944,0.5366638,94.84722,0.41970944,0.01743116,,,,,,,,,,,,,94.84722,3.0,1.0,,,,,94.84722,0.41970944,0.3980869,94.84722,0.41970944,29.251583,94.84722,0.41970944,0.013269562,94.84722,0.41970944,0.031453516,94.84722,0.41970944,5.0,,,,,,,
94.84722,0.35975096,12.83616,94.84722,0.35975096,0.61676335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.35975096,43797.938,94.84722,0.35975096,2335.6934,,,,,,,,,,,,,,,,,94.84722,0.4496887,0.5293529,94.84722,0.4496887,0.0237129,,,,,,,,,,,,,94.84722,3.0,2.0,,,,,94.84722,0.4496887,0.4031223,94.84722,0.4496887,29.273739,94.84722,0.4496887,0.013437412,94.84722,0.4496887,0.04288012,94.84722,0.4496887,5.0,,,,,,,
94.84722,0.3897302,11.483713,94.84722,0.3897302,0.53590655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.3897302,39180.2,94.84722,0.3897302,2032.1788,,,,,,,,,,,,,,,,,94.84722,0.47966793,0.5116992,94.84722,0.47966793,0.016029043,,,,,,,,,,,,,94.84722,4.0,0.0,,,,,94.84722,0.47966793,0.39913443,94.84722,0.47966793,29.256191,94.84722,0.47966793,0.01330448,94.84722,0.47966793,0.030360822,94.84722,0.47966793,5.0,,,,,,,
94.84722,0.41970944,10.254232,94.84722,0.41970944,0.47465414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84722,0.41970944,34984.598,94.84722,0.41970944,1799.0549,,,,,,,,,,,,,,,,,94.84722,0.5096472,0.49935123,94.84722,0.5096472,0.023279713,,,,,,,,,,,,,94.84722,4.0,1.0,,,,,94.84722,0.5096472,0.39934263,94.84722,0.5096472,29.257107,94.84722,0.5096472,0.01331142,94.84722,0.5096472,0.04457288,94.84722,0.5096472,5.0,,,,,,,
