time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
333.45834,0.029979246,21.880083,333.45834,0.029979246,17.646187,333.45834,27.932096,333.45834,25.203705,333.45834,24.0,333.45834,80.333336,333.45834,0.0,333.45834,274.33334,333.45834,972.71704,333.45834,21.573631,333.45834,0.0,333.45834,0.0,333.45834,0.0,333.45834,0.001377831,333.45834,0.0012544526,333.45834,22.427778,333.45834,22.737776,333.45834,22.787777,333.45834,20241128,333.45834,110000,333.45834,2024.0,333.45834,11.0,333.45834,28.0,333.45834,11.0,333.45834,0.0,333.45834,0.0,333.45834,-1.0,333.45834,-999.0,333.45834,-999.0,333.45834,-999.0,333.45834,4.0554447,333.45834,2500.0,333.45834,0.029979246,51796.266,333.45834,0.029979246,44738.188,333.45834,,333.45834,,333.45834,,333.45834,,333.45834,,333.45834,,333.45834,,333.45834,,333.45834,0.11991698,0.1732535,333.45834,0.11991698,0.0072736177,,,,,,,,,,,,,333.45834,0.0,0.0,1.4989623,333.45834,0.0,1.9186717,333.45834,0.11991698,0.029742053,333.45834,0.11991698,27.630865,333.45834,0.11991698,0.0009914017,333.45834,0.11991698,0.040281754,333.45834,0.11991698,5.0,333.45834,0.0,WaterCloud,333.45834,30.0,333.45834,
333.45834,0.05995849,7.75264,333.45834,0.05995849,0.8245129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.05995849,18353.492,333.45834,0.05995849,2095.42,,,,,,,,,,,,,,,,,333.45834,0.14989623,0.16809718,333.45834,0.14989623,0.0072540212,,,,,,,,,,,,,333.45834,0.0,1.0,1.6788378,333.45834,1.0,,333.45834,0.14989623,0.027818501,333.45834,0.14989623,27.6224,333.45834,0.14989623,0.0009272834,333.45834,0.14989623,0.041361175,333.45834,0.14989623,5.0,333.45834,1.0,MixedCloud,,,,
333.45834,0.08993774,6.8695226,333.45834,0.08993774,0.56608653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.08993774,16257.332,333.45834,0.08993774,1435.7615,,,,,,,,,,,,,,,,,333.45834,0.17987548,0.16364457,333.45834,0.17987548,0.0074499953,,,,,,,,,,,,,333.45834,0.0,2.0,1.8886925,333.45834,2.0,,333.45834,0.17987548,0.026173897,333.45834,0.17987548,27.615166,333.45834,0.17987548,0.0008724632,333.45834,0.17987548,0.043538954,333.45834,0.17987548,5.0,333.45834,2.0,Ice/dust/ash,,,,
333.45834,0.11991698,6.26039,333.45834,0.11991698,0.44316527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.11991698,14815.7705,333.45834,0.11991698,1122.4827,,,,,,,,,,,,,,,,,333.45834,0.20985472,0.15980239,333.45834,0.20985472,0.0072240895,,,,,,,,,,,,,333.45834,1.0,0.0,,333.45834,3.0,,333.45834,0.20985472,0.024785403,333.45834,0.20985472,27.609056,333.45834,0.20985472,0.0008261801,333.45834,0.20985472,0.04325024,333.45834,0.20985472,5.0,333.45834,3.0,Rain/Dust,,,,
333.45834,0.14989623,5.7951956,333.45834,0.14989623,0.36326048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.14989623,13712.011,333.45834,0.14989623,918.25555,,,,,,,,,,,,,,,,,333.45834,0.23983397,0.15659218,333.45834,0.23983397,0.0072978353,,,,,,,,,,,,,333.45834,1.0,1.0,,333.45834,4.0,,333.45834,0.23983397,0.023656784,333.45834,0.23983397,27.604088,333.45834,0.23983397,0.0007885595,333.45834,0.23983397,0.04453149,333.45834,0.23983397,5.0,333.45834,4.0,Molecular,,,,
333.45834,0.17987548,5.390986,333.45834,0.17987548,0.31918785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.17987548,12753.993,333.45834,0.17987548,805.9213,,,,,,,,,,,,,,,,,333.45834,0.2698132,0.15987216,333.45834,0.2698132,0.007648234,,,,,,,,,,,,,333.45834,1.0,2.0,,333.45834,5.0,,333.45834,0.2698132,0.025355808,333.45834,0.2698132,27.611565,333.45834,0.2698132,0.0008451937,333.45834,0.2698132,0.045626894,333.45834,0.2698132,5.0,333.45834,5.0,CleanAerosol,,,,
333.45834,0.20985472,5.0171204,333.45834,0.20985472,0.27752492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.20985472,11870.769,333.45834,0.20985472,700.4375,,,,,,,,,,,,,,,,,333.45834,0.29979247,0.16663782,333.45834,0.29979247,0.008473311,,,,,,,,,,,,,333.45834,2.0,0.0,,333.45834,6.0,,333.45834,0.29979247,0.028588478,333.45834,0.29979247,27.625788,333.45834,0.29979247,0.0009529492,333.45834,0.29979247,0.048381537,333.45834,0.29979247,5.0,333.45834,6.0,PollutedAerosol,,,,
333.45834,0.23983397,4.6720514,333.45834,0.23983397,0.2527592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.23983397,11051.965,333.45834,0.23983397,637.19037,,,,,,,,,,,,,,,,,333.45834,0.3297717,0.17153677,333.45834,0.3297717,0.008843593,,,,,,,,,,,,,333.45834,2.0,1.0,,333.45834,7.0,,333.45834,0.3297717,0.031054845,333.45834,0.3297717,27.636642,333.45834,0.3297717,0.0010351617,333.45834,0.3297717,0.04901936,333.45834,0.3297717,5.0,333.45834,7.0,Undetected,,,,
333.45834,0.2698132,4.4459467,333.45834,0.2698132,0.23821211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.2698132,10516.155,333.45834,0.2698132,599.99286,,,,,,,,,,,,,,,,,333.45834,0.35975096,0.17694077,333.45834,0.35975096,0.00922851,,,,,,,,,,,,,333.45834,2.0,2.0,,333.45834,8.0,,333.45834,0.35975096,0.03374805,333.45834,0.35975096,27.64849,333.45834,0.35975096,0.001124935,333.45834,0.35975096,0.049573306,333.45834,0.35975096,5.0,,,,,,,
333.45834,0.29979247,4.300149,333.45834,0.29979247,0.2378105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.45834,0.29979247,10173.09,333.45834,0.29979247,599.1237,,,,,,,,,,,,,,,,,333.45834,0.3897302,0.18208207,333.45834,0.3897302,0.009297202,,,,,,,,,,,,,333.45834,3.0,0.0,,333.45834,9.0,,333.45834,0.3897302,0.036358885,333.45834,0.3897302,27.65998,333.45834,0.3897302,0.0012119629,333.45834,0.3897302,0.04856892,333.45834,0.3897302,5.0,,,,,,,
