LECROYWS4104HD,19252,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,28-Nov-2024 19:20:30,0                 
Time,Ampl
-1.5200206e-005,-0.053166
-1.5199806e-005,-0.053166
-1.5199406e-005,-0.0437545
-1.5199006e-005,-0.0508132
-1.5198606e-005,-0.0508132
-1.5198206e-005,-0.053166
-1.5197806e-005,-0.0437545
-1.5197406e-005,-0.0578718
-1.5197006e-005,-0.0484603
-1.5196606e-005,-0.053166
-1.5196206e-005,-0.0696362
-1.5195806e-005,-0.0578718
-1.5195406e-005,-0.053166
-1.5195006e-005,-0.0508132
-1.5194606e-005,-0.0649304
-1.5194206e-005,-0.0508132
-1.5193806e-005,-0.0555189
-1.5193406e-005,-0.0625776
-1.5193006e-005,-0.0672833
-1.5192606e-005,-0.0649304
-1.5192206e-005,-0.0602247
-1.5191806e-005,-0.0484603
-1.5191406e-005,-0.0555189
-1.5191006e-005,-0.0672833
-1.5190606e-005,-0.0602247
-1.5190206e-005,-0.0578718
-1.5189806e-005,-0.0578718
-1.5189406e-005,-0.053166
-1.5189006e-005,-0.0602247
-1.5188606e-005,-0.0555189
-1.5188206e-005,-0.053166
-1.5187806e-005,-0.0555189
-1.5187406e-005,-0.0484603
-1.5187006e-005,-0.0578718
-1.5186606e-005,-0.0461074
-1.5186206e-005,-0.0508132
-1.5185806e-005,-0.0602247
-1.5185406e-005,-0.0602247
-1.5185006e-005,-0.0390488
-1.5184606e-005,-0.0602247
-1.5184206e-005,-0.0414016
-1.5183806e-005,-0.0414016
-1.5183406e-005,-0.0578718
-1.5183006e-005,-0.053166
-1.5182606e-005,-0.0578718
-1.5182206e-005,-0.0414016
-1.5181806e-005,-0.0461074
-1.5181406e-005,-0.034343
-1.5181006e-005,-0.0437545
-1.5180606e-005,-0.0414016
-1.5180206e-005,-0.0437545
-1.5179806e-005,-0.0437545
-1.5179406e-005,-0.0414016
-1.5179006e-005,-0.0414016
-1.5178606e-005,-0.0319901
-1.5178206e-005,-0.0461074
-1.5177806e-005,-0.0249315
-1.5177406e-005,-0.0366959
-1.5177006e-005,-0.034343
-1.5176606e-005,-0.0414016
-1.5176206e-005,-0.0272844
-1.5175806e-005,-0.0296372
-1.5175406e-005,-0.0366959
-1.5175006e-005,-0.0272844
-1.5174606e-005,-0.0272844
-1.5174206e-005,-0.0296372
-1.5173806e-005,-0.0249315
-1.5173406e-005,-0.0319901
-1.5173006e-005,-0.0296372
-1.5172606e-005,-0.0272844
-1.5172206e-005,-0.0272844
-1.5171806e-005,-0.0319901
-1.5171406e-005,-0.0249315
-1.5171006e-005,-0.0178728
-1.5170606e-005,-0.0296372
-1.5170206e-005,-0.0202257
-1.5169806e-005,-0.01552
-1.5169406e-005,-0.0131671
-1.5169006e-005,-0.01552
-1.5168606e-005,-0.0202257
-1.5168206e-005,-0.0249315
-1.5167806e-005,-0.0249315
-1.5167406e-005,-0.0202257
-1.5167006e-005,-0.0202257
-1.5166606e-005,-0.0202257
-1.5166206e-005,-0.0108142
-1.5165806e-005,-0.01552
-1.5165406e-005,-0.0178728
-1.5165006e-005,-0.00846133
-1.5164606e-005,-0.00140269
-1.5164206e-005,-0.0108142
-1.5163806e-005,-0.0131671
-1.5163406e-005,-0.00375557
-1.5163006e-005,-0.00140269
-1.5162606e-005,-0.01552
-1.5162206e-005,-0.0108142
-1.5161806e-005,-0.0131671
-1.5161406e-005,-0.0131671
-1.5161006e-005,-0.00846133
-1.5160606e-005,-0.0108142
-1.5160206e-005,-0.0202257
-1.5159806e-005,-0.0202257
-1.5159406e-005,-0.00140269
-1.5159006e-005,-0.0178728
-1.5158606e-005,-0.00846133
-1.5158206e-005,-0.01552
-1.5157806e-005,-0.0178728
-1.5157406e-005,-0.0108142
-1.5157006e-005,-0.00610845
-1.5156606e-005,-0.0108142
-1.5156206e-005,-0.01552
-1.5155806e-005,-0.00846133
-1.5155406e-005,-0.0108142
-1.5155006e-005,-0.0108142
-1.5154606e-005,-0.01552
-1.5154206e-005,-0.0131671
-1.5153806e-005,-0.0131671
-1.5153406e-005,-0.00375557
-1.5153006e-005,-0.00375557
-1.5152606e-005,-0.01552
-1.5152206e-005,-0.01552
-1.5151806e-005,-0.0131671
-1.5151406e-005,-0.01552
-1.5151006e-005,-0.0178728
-1.5150606e-005,-0.00375557
-1.5150206e-005,-0.0108142
-1.5149806e-005,-0.0108142
-1.5149406e-005,-0.01552
-1.5149006e-005,-0.00375557
-1.5148606e-005,-0.00846133
-1.5148206e-005,0.00565595
-1.5147806e-005,-0.00375557
